nr populacji, najlepszy osobnik, najgorszy osobnik, sredni osobnik
0,289940.5027,294971.5855,291265.4069
1,289597.0064,297379.8565,291941.5735
2,289210.7839,293344.5138,291240.1089
3,289210.7839,296235.7737,291585.5066
4,289210.7839,293977.9984,291435.0784
5,289210.2023,296090.1035,291078.8548
6,289210.2023,295612.6158,291377.238
7,289013.0068,295462.7261,291002.6285
8,288553.7489,295518.2469,291033.639
9,288553.7489,292899.5149,290667.5278
10,288553.7489,294680.6076,291483.5437
11,287946.0119,294218.3033,290373.0776
12,287946.0119,294991.718,290863.0806
13,287946.0119,297799.5717,291091.3774
14,287946.0119,294789.5115,291012.7391
15,287946.0119,294060.4812,290746.3327
16,287946.0119,296436.6351,291247.9593
17,287946.0119,294281.6107,290641.1401
18,287946.0119,295301.6079,291117.4357
19,287946.0119,294783.3089,291199.5696
20,287946.0119,295494.9265,291471.8562
21,287946.0119,293957.5543,290840.3054
22,287946.0119,296681.8982,291709.1299
23,287946.0119,297307.6622,291167.0516
24,287946.0119,294987.4992,290698.925
25,287946.0119,294814.1708,290944.8838
26,287946.0119,295052.6299,290762.3515
27,287946.0119,294563.6815,291078.2543
28,287946.0119,293715.9305,290876.0374
29,287946.0119,295408.5396,290904.9534
30,287946.0119,295157.5447,291114.9359
31,287946.0119,293856.1077,290559.8652
32,287946.0119,294692.8317,290912.7927
33,287946.0119,295742.994,290990.564
34,287946.0119,294797.0083,290381.8875
35,287946.0119,295392.3059,290519.8176
36,287946.0119,293656.8245,290371.6317
37,287946.0119,293434.1895,290373.6921
38,287946.0119,294359.9275,290906.9199
39,287946.0119,294586.8658,291510.979
40,287946.0119,296153.1714,291115.1885
41,287946.0119,294609.7744,290941.2679
42,287946.0119,294002.7792,290573.4567
43,287946.0119,294325.411,290986.6507
44,287946.0119,296374.7899,291739.1373
45,287946.0119,295089.74,290443.5999
46,287946.0119,293252.9832,290061.0325
47,287946.0119,294339.9228,290543.1713
48,287946.0119,296142.8563,291135.4312
49,287946.0119,295596.9959,290816.691
50,287946.0119,295290.0897,291215.6186
51,287946.0119,298394.6583,290706.7107
52,287946.0119,294606.2171,290529.4865
53,287946.0119,295762.3137,291659.0713
54,287946.0119,298087.5665,291400.3429
55,287946.0119,292359.3422,290714.0806
56,287946.0119,294767.3104,290734.2285
57,287946.0119,297080.1777,291838.9415
58,287946.0119,294466.5546,290769.6125
59,287946.0119,295612.2774,291700.6442
60,287946.0119,293908.6004,290613.8226
61,287946.0119,293572.9269,290650.6781
62,287946.0119,293715.8985,290532.9806
63,287946.0119,294295.3977,290359.4516
64,287946.0119,295384.2482,291498.5198
65,287946.0119,293314.3846,290506.5316
66,287946.0119,293563.7933,290958.1739
67,287946.0119,293457.7511,290619.2509
68,287946.0119,294877.893,291385.9417
69,287946.0119,295623.6385,290638.2061
70,287946.0119,295549.5321,290838.6056
71,287946.0119,296887.1053,291134.6852
72,287946.0119,294654.3206,291089.399
73,287946.0119,294307.6788,290751.237
74,287946.0119,296090.6082,291153.4826
75,287946.0119,296331.2088,290863.3144
76,287946.0119,294919.2505,290725.3924
77,287946.0119,294886.7813,291137.9839
78,287946.0119,295118.1569,291211.6332
79,287946.0119,294120.0563,290828.6457
80,287946.0119,293974.6533,290325.2626
81,286969.2063,297126.5687,291072.5926
82,286969.2063,293300.3722,291034.6408
83,286969.2063,296303.2003,291351.7309
84,286969.2063,294410.7246,291033.2839
85,286969.2063,294762.8062,290682.8637
86,286969.2063,294691.7326,290673.4344
87,286969.2063,293921.6001,291153.095
88,286969.2063,293721.9246,290730.4717
89,286969.2063,292594.252,290477.058
90,286969.2063,295851.9639,291139.8745
91,286969.2063,295446.6349,290594.8502
92,286969.2063,294793.9946,291340.148
93,286969.2063,294040.9627,290536.3203
94,286969.2063,295371.1796,290372.7155
95,286969.2063,293508.0984,290709.5912
96,286969.2063,292734.78,289823.1539
97,286969.2063,296254.3976,291409.1052
98,286969.2063,295305.6571,290452.045
99,286969.2063,295840.2253,290986.1757
