nr populacji, najgorszy osobnik, najlepszy osobnik, sredni osobnik
0,36033.49562,39338.81967,38395.6534
1,34651.16303,39773.53161,38590.66428
2,38170.81804,40084.09627,39143.25909
3,35780.14245,40084.09627,39473.57765
4,39184.7554,40239.32558,39801.30252
5,39376.21854,40271.83109,39980.79981
6,38778.90994,40271.83109,39977.55446
7,38894.14367,40349.06145,40120.2925
8,38999.59381,40403.20375,40232.61148
9,40064.104,40403.20375,40332.84
10,39889.85871,40450.53766,40362.37782
11,40070.85025,40458.43573,40385.15787
12,40197.25764,40462.04993,40409.31176
13,40253.55341,40555.00489,40450.97762
14,40242.19517,40631.12968,40463.07706
15,40334.994,40700.3182,40503.37291
16,40339.21652,40700.3182,40559.31529
17,40384.90118,40700.3182,40608.6243
18,39394.75099,40791.3024,40611.53273
19,40481.27175,40791.3024,40713.36442
20,40673.99609,40791.3024,40764.74535
21,40691.74867,40791.3024,40789.1394
22,40280.84144,40807.71036,40776.23201
23,40465.07914,40807.71036,40790.14973
24,40670.70533,40936.68641,40812.37965
25,40662.39081,40936.68641,40846.21546
26,40590.16882,40936.68641,40894.24574
27,40586.54628,40936.68641,40928.32243
28,37736.59889,40936.68641,40869.42335
29,40344.07259,40936.68641,40923.79323
30,40936.68641,40936.68641,40936.68641
31,40936.68641,41116.53981,40940.28348
32,40815.18006,41136.69195,40959.93375
33,40837.59801,41136.69195,41023.7478
34,40879.01547,41144.39659,41086.55368
35,40969.18567,41154.2154,41123.50053
36,40844.67949,41154.2154,41119.1107
37,40683.05654,41154.2154,41119.70697
38,38361.39111,41154.2154,41070.78253
39,41014.46915,41154.2154,41128.56795
40,40818.18185,41159.9993,41128.99019
41,40921.87489,41159.9993,41132.61533
42,39736.7709,41176.46072,41109.79327
43,40934.45465,41441.45988,41151.51678
44,40884.46918,41423.1819,41182.75714
45,40833.13079,41423.1819,41235.28849
46,40992.83262,41430.35015,41348.57473
47,41159.73329,41431.36323,41415.09782
48,41423.1819,41431.36323,41426.68122
49,41280.29423,41431.36323,41425.08669
50,41106.57788,41431.36323,41422.6322
51,41425.76031,41431.36323,41431.23091
52,41223.63232,41431.36323,41426.59818
53,41405.21319,41431.36323,41430.84023
54,40619.34258,41431.36323,41400.65551
55,41334.90498,41431.36323,41428.80634
56,41131.42351,41431.36323,41425.36443
57,41431.36323,41431.36323,41431.36323
58,41296.52099,41536.62574,41430.40926
59,41147.89671,41536.62574,41420.67355
60,41147.89671,41536.62574,41447.5988
61,41431.36323,41536.62574,41519.87114
62,41536.62574,41556.20891,41538.3677
63,41499.00779,41556.20891,41544.85323
64,41513.90342,41556.20891,41550.49862
65,41351.57885,41775.13114,41559.23078
66,41105.78268,41775.13114,41603.50699
67,41511.63374,41775.13114,41738.39451
68,41491.06806,41775.13114,41766.78345
69,41396.92249,41775.13114,41764.8801
70,41543.54547,41775.13114,41770.49942
71,41775.13114,41775.13114,41775.13114
72,41711.48026,41811.42126,41774.79331
73,41685.41562,41811.42126,41780.16176
74,41711.48026,41811.42126,41792.62065
75,41709.7129,41811.42126,41807.64034
76,41537.98565,41811.42126,41805.95254
77,41693.76446,41811.42126,41809.06812
78,41811.42126,41811.42126,41811.42126
79,41807.93648,41811.42126,41811.35156
80,41811.42126,41811.42126,41811.42126
81,41713.56756,41811.42126,41808.19557
82,41811.42126,41850.08035,41814.51398
83,41793.87465,41945.18104,41823.38771
84,41745.13007,41965.7998,41842.54348
85,41744.6436,41972.10699,41876.78519
86,41711.28729,41987.85899,41925.95792
87,40498.55949,42094.53243,41936.27339
88,41230.1537,42094.53243,41953.52297
89,41857.99906,41997.9098,41980.48768
90,41431.88652,41997.9098,41984.17714
91,41882.74388,41997.9098,41995.40547
92,41997.9098,41997.9098,41997.9098
93,41997.9098,41997.9098,41997.9098
94,41537.40904,42130.54343,41991.35246
95,41997.9098,42137.36241,42012.67904
96,41976.76608,42137.36241,42050.37932
97,41184.27846,42137.36241,42065.3113
98,42093.08216,42137.36241,42128.5367
99,42045.77862,42137.36241,42135.25798
